#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
45,Anthony Tolliver,DET,26,20.5,1.5,4.6,0.333,1.2,3.7,0.337,0.3,0.6,0.533,0.3,1.3,0.6,3,3.6,0.8,0.5,0.3,4.6,0.24
46,Marcus Thornton,HOU,24,20.5,4.3,10,0.435,1.8,4.9,0.373,0.5,0.6,0.867,0.7,1.3,0.8,2.1,2.8,1.5,0.9,0,11,0.50
47,Tristan Thompson,CLE,24,27,3,5.5,0.541,0,0,0,1,2.1,0.49,0.9,2.5,3,7,9.9,0.8,0.5,0.5,7,0.24
48,Klay Thompson,GSW,24,31.5,6.8,14.5,0.471,3.2,7.2,0.448,2,2.4,0.845,2,2.2,0.4,3.1,3.5,2.5,0.5,0.8,19,0.49
49,Jason Thompson,GSW,13,5.7,0.6,1.5,0.421,0,0,0,0.1,0.2,0.5,0.3,1,0.5,1.5,2,0.5,0.2,0.3,1.3,0.28
50,Hollis Thompson,PHI,27,26.3,2.8,7.5,0.371,1.6,4.4,0.367,0.9,1.2,0.75,1.3,2.6,0.7,2.9,3.6,1.5,0.6,0.4,8.1,0.30
51,Lance Thomas,NYK,26,20.2,2.8,6.2,0.453,0.7,1.9,0.388,1.7,2,0.882,0.9,1.5,0.6,1.5,2.1,0.6,0.3,0,8.1,0.35
52,Isaiah Thomas,BOS,26,32.1,7.2,16.8,0.425,2.2,6.3,0.344,4.7,5.2,0.897,2.5,1.8,0.5,2.2,2.7,6.6,1.3,0,21.2,0.59
53,Jason Terry,HOU,22,16.2,2,4.6,0.431,1.2,3.4,0.351,0.4,0.4,0.889,0.8,1.8,0.1,0.8,1,1.1,0.8,0.2,5.5,0.29
54,Garrett Temple,WAS,22,17.2,1.6,4.5,0.35,0.6,2.4,0.25,1.1,1.7,0.676,0.6,1.5,0.4,1.7,2,1.2,0.9,0.2,4.9,0.30
55,Mirza Teletovic,PHX,27,18.5,3.2,7.3,0.442,2.1,4.9,0.443,0.6,0.8,0.727,0.7,1.2,0.5,2.7,3.2,1.1,0.3,0.3,9.2,0.41
56,Jeff Teague,ATL,24,29.6,5.3,12.7,0.418,1.2,3,0.397,3.8,4.4,0.868,2.6,2.2,0.5,2.2,2.7,5.9,1.1,0.4,15.6,0.49
57,Walter Tavares,ATL,4,3,0.2,0.8,0.333,0,0,0,0.5,1,0.5,0.2,0.2,0.2,0.2,0.5,0.2,0,0,1,0.41
58,Jared Sullinger,BOS,26,25.4,4.1,9.7,0.425,0.6,2,0.288,1.2,1.9,0.62,1.4,2.5,2.8,6.7,9.6,2.4,0.9,0.8,10,0.41
59,Rodney Stuckey,IND,19,25,3.9,9.2,0.429,0.3,1.4,0.231,2.5,2.8,0.87,1.5,1.5,0.4,2.8,3.3,2.7,0.9,0.2,10.7,0.42
60,Amar'e Stoudemire,MIA,3,9.1,1.7,3,0.556,0,0,0,1,1.3,0.75,0.3,0.7,1,1,2,0.3,0,0.3,4.3,0.39
61,Jarnell Stokes,MEM,2,2.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0.00
62,Lance Stephenson,LAC,24,17.9,1.8,4.2,0.436,0.5,1.3,0.406,0.5,0.8,0.684,1.2,1.8,0.6,2.2,2.8,1.8,0.6,0.1,4.8,0.25
63,Nik Stauskas,PHI,25,24.4,2.7,7.8,0.349,1.4,5,0.288,0.9,1.3,0.719,1.2,1.5,0.2,2,2.2,1.8,0.6,0.4,7.8,0.34
64,Tiago Splitter,ATL,18,16.3,2.3,4.4,0.519,0,0.1,0,0.9,1.1,0.842,0.9,1.8,1.2,2.2,3.4,0.8,0.7,0.3,5.4,0.30
65,Marreese Speights,GSW,22,9.8,1.8,5.2,0.351,0,0.3,0.143,1.3,1.7,0.763,1,1.6,1,2,3,0.6,0.1,0.3,5,0.60
66,Tony Snell,CHI,23,22.2,2,5.6,0.352,1.2,2.9,0.409,0.6,0.7,0.875,1,1.6,0.3,3.1,3.4,1,0.4,0.3,5.7,0.27
67,Russ Smith,MEM,13,4.5,0.5,1.5,0.35,0.1,0.4,0.2,0.6,0.8,0.727,0.4,0.4,0.1,0.5,0.5,0.8,0.2,0,1.8,0.41
68,Josh Smith,LAC,26,15,2.2,5.5,0.396,0.7,1.9,0.347,0.8,1.5,0.579,1.3,2,1.1,3.1,4.2,1.5,0.5,1.2,5.9,0.41
69,Jason Smith,ORL,20,14.7,2.3,4.7,0.495,0.1,0.2,0.5,0.7,0.8,0.933,0.7,2.2,0.6,2,2.6,0.5,0.3,0.8,5.4,0.34
70,J.R. Smith,CLE,20,31.6,4.2,11.1,0.378,2,5.8,0.357,0.6,1.1,0.545,1.1,3.4,0.8,2.4,3.2,1.8,0.9,0.6,11.1,0.37
71,Ish Smith,NOP,24,24.8,3.9,9.2,0.427,0.4,1.3,0.323,1.2,1.6,0.744,1.8,1.5,0.6,3.2,3.8,6.3,1,0.2,9.5,0.40
72,Marcus Smart,BOS,9,29.1,3.1,9.3,0.333,1.1,4.7,0.238,2.4,3.6,0.688,1.7,3.1,0.9,2.9,3.8,3.2,1.8,0.3,9.8,0.37
73,Donald Sloan,BRK,7,7.2,0.4,1.1,0.375,0,0,0,0.4,0.4,1,0.7,0.3,0.3,0.1,0.4,0.9,0.3,0,1.3,0.18
74,Kyle Singler,OKC,20,11.2,0.7,2.8,0.236,0.3,1.6,0.194,0.3,0.6,0.5,0.7,1.8,0.2,1.2,1.4,0.1,0.7,0.1,1.9,0.27
75,Jonathon Simmons,SAS,13,14.2,2,4.5,0.448,0.4,1,0.385,1.9,2.2,0.862,1.2,1.8,0.4,1.6,2,1.5,0.4,0,6.3,0.38
76,Iman Shumpert,CLE,2,19.1,3.5,5.5,0.636,2,3,0.667,1,1.5,0.667,0.5,1.5,0,2,2,0.5,0,0.5,10,0.32
77,Ramon Sessions,WAS,24,19.5,3,6.2,0.48,0.5,1.4,0.324,2.9,3.8,0.769,1.3,1.6,0.2,1.9,2.1,2.5,0.9,0.1,9.3,0.40
78,Kevin Seraphin,NYK,20,11.9,1.9,4.6,0.413,0,0,0,0.6,0.7,0.846,1.2,1.4,0.8,1.8,2.6,1.4,0.2,0.8,4.3,0.41
79,Thabo Sefolosha,ATL,23,24.5,3,5.8,0.511,0.7,2,0.356,0.6,1.1,0.52,1.2,1.5,0.7,3.8,4.6,1.3,1.5,0.7,7.2,0.26
80,Mike Scott,ATL,21,11.9,2.1,4.4,0.478,0.5,1.4,0.333,0.9,1,0.818,0.7,0.9,0.6,1.3,2,1.1,0.1,0.1,5.5,0.41
81,Luis Scola,TOR,27,23.4,4.2,9,0.469,0.6,1.4,0.41,0.9,1.1,0.8,1,2.5,1.4,4.3,5.8,0.9,0.7,0.2,9.9,0.40
82,Dennis Schroeder,ATL,27,21.8,3.9,9.8,0.396,1,3.3,0.292,1.5,1.9,0.788,1.9,1.5,0.4,2.2,2.6,4.4,1,0.1,10.3,0.49
83,JaKarr Sampson,PHI,26,14.7,2.2,4.4,0.5,0.2,0.7,0.278,1.4,2.2,0.643,1.2,2,0.6,2.2,2.8,0.5,0.2,0.2,6,0.36
84,Robert Sacre,LAL,8,16.4,1.5,4,0.375,0,0,0,0.9,1.5,0.583,0.8,2.4,1.4,1.6,3,1,0.1,0.8,3.9,0.28
85,D'Angelo Russell,LAL,26,28.4,4.7,11.8,0.399,1.5,4.7,0.317,0.9,1.2,0.75,2.3,1.8,0.7,3.5,4.3,3.5,1.2,0.2,11.9,0.43
86,Brandon Rush,GSW,18,14.4,1.8,3.9,0.457,1.2,2.4,0.488,0.3,0.6,0.6,0.6,0.6,0.4,2.3,2.7,0.7,0.2,0.2,5.1,0.29
87,Damjan Rudez,MIN,12,9.1,1,1.8,0.545,0.8,1.5,0.5,0.3,0.3,1,0.5,0.9,0.1,0.4,0.5,0.4,0,0,3.1,0.21
88,Ricky Rubio,MIN,19,30,2.7,8,0.342,0.5,1.8,0.265,3.9,4.6,0.851,2.4,2.7,1,4.2,5.2,8.7,2,0.1,9.8,0.33
89,Terry Rozier,BOS,15,6.4,0.8,3,0.267,0.1,0.7,0.182,0.1,0.1,1,0.5,0.6,0.5,0.6,1.1,0.5,0,0,1.8,0.48
90,Terrence Ross,TOR,21,21.2,2.5,6.5,0.38,1.2,3.6,0.342,0.5,0.5,1,0.7,1.5,0.3,2,2.2,0.7,0.7,0.4,6.7,0.32
91,Derrick Rose,CHI,21,32.4,5.4,14.5,0.374,0.5,2.4,0.22,1.8,2.5,0.698,2.5,1.3,0.3,3,3.3,5.5,0.7,0.3,13.1,0.48
92,Rajon Rondo,SAC,24,35.5,5.4,11.9,0.453,0.9,2.3,0.375,1,2,0.5,3.6,2.2,1.4,5.5,6.9,11,1.9,0.1,12.6,0.36
93,Thomas Robinson,BRK,25,9.9,1.4,2.6,0.515,0,0,0,0.4,0.9,0.455,0.8,1.2,1.3,2.5,3.8,0.1,0.3,0.6,3.1,0.30
94,Nate Robinson,NOP,2,11.7,0,0.5,0,0,0.5,0,0,0,0,0,2.5,0,0,0,2,0.5,0,0,0.04
95,Glenn Robinson,IND,15,11.6,1.7,3.3,0.52,0.4,0.9,0.429,0.9,1.3,0.684,0.3,0.3,0.3,1.2,1.5,0.3,0.4,0.2,4.7,0.33
96,Brian Roberts,CHA,12,7.8,0.9,2.5,0.367,0.2,0.3,0.5,0.2,0.2,0.667,0.3,0.3,0.1,0.9,1,1,0.2,0,2.2,0.33
97,Andre Roberson,OKC,25,22.8,1.9,4.2,0.448,0.5,1.7,0.279,0.4,0.8,0.579,0.7,1.9,1,2.4,3.4,0.8,0.8,0.6,4.7,0.20
98,Austin Rivers,LAC,26,22.6,2.9,7,0.412,0.5,2.4,0.222,1,1.6,0.643,0.9,2.1,0.5,1.5,2,1.2,0.7,0.2,7.3,0.34
99,Josh Richardson,MIA,11,9.3,0.5,1.4,0.333,0.4,0.9,0.4,0.4,0.7,0.5,0.4,1.5,0.1,1,1.1,0.5,0.2,0,1.6,0.18
100,Willie Reed,BRK,6,8.9,1.8,3,0.611,0,0,0,0.3,1,0.333,0.5,0.7,1,2.3,3.3,0.2,0,0.7,4,0.38
#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#VALUE!
101,J.J. Redick,LAC,22,26.7,5,10.7,0.47,2.2,4.8,0.462,2.7,3.1,0.87,1.3,2,0.1,1.2,1.4,1.7,0.5,0.1,15,0.45
102,Zach Randolph,MEM,22,30,5.7,12.4,0.46,0,0.1,0,2.1,2.7,0.783,1.6,2,2.9,5.8,8.6,1.7,0.6,0,13.5,0.45
103,Julius Randle,LAL,26,27.4,4.7,10.9,0.428,0,0.3,0.125,2.6,3.8,0.687,1.7,3.1,2.3,7.2,9.5,1.7,0.8,0.5,12,0.46
104,Tayshaun Prince,MIN,25,19.4,1,2.7,0.388,0,0.3,0.125,0.2,0.4,0.545,0.3,0.8,0.4,1.6,2,0.8,0.4,0.1,2.4,0.15
105,Pablo Prigioni,LAC,7,12.9,0.4,2.9,0.15,0.3,2,0.143,0.3,0.3,1,0.6,1,0.4,0.7,1.1,1.6,0.9,0,1.4,0.23
106,Ronnie Price,PHX,25,12.8,1.1,3,0.373,0.7,2.1,0.34,0.5,0.5,0.923,0.6,1.8,0.2,0.7,0.8,1.6,0.9,0.2,3.4,0.25
107,Phil Pressey,PHI,14,12.1,1.5,3.9,0.382,0.3,0.9,0.308,0.6,1.3,0.5,1.4,1,0,1.6,1.6,3.3,0.8,0.1,3.9,0.37
108,Norman Powell,TOR,12,5.9,0.7,2.4,0.276,0.1,0.5,0.167,0,0.1,0,0.3,0.7,0.4,0.8,1.2,0.2,0.5,0,1.4,0.41
109,Dwight Powell,DAL,25,19.3,3.2,6.1,0.529,0,0.2,0,2.2,3,0.72,0.8,2.3,1.6,4.6,6.1,0.9,0.6,0.6,8.6,0.38
110,Kristaps Porzingis,NYK,26,27.4,5,11.5,0.433,0.9,2.7,0.338,2.5,3,0.846,2,3,2.2,6,8.3,1,0.7,2,13.5,0.47
111,Bobby Portis,CHI,4,6.7,2.5,4.2,0.588,0,0.2,0,0.2,0.5,0.5,0.5,0.5,0.2,0.8,1,0.2,0.2,0.2,5.2,0.66
112,Otto Porter,WAS,24,32.3,4.5,10.4,0.438,1,3.5,0.274,1.7,2.1,0.804,1.3,2.5,1.4,4,5.4,2.2,1.5,0.4,11.8,0.35
113,Miles Plumlee,MIL,17,8.2,1.1,1.9,0.545,0,0,0,0.1,0.2,0.5,0.6,1.1,0.7,1.1,1.8,0.2,0.1,0.5,2.2,0.24
114,Mason Plumlee,POR,27,27,3.6,6.9,0.524,0,0,0,2.5,4.3,0.591,2.1,3.3,2.7,5.3,8,2.6,0.9,1,9.7,0.32
115,Tibor Pleiss,UTA,4,3.3,0.5,1,0.5,0,0,0,0,0,0,0.2,1,0,0.2,0.2,0,0,0.2,1,0.30
116,Paul Pierce,LAC,25,16.6,1.4,4.3,0.315,0.7,2.8,0.243,0.8,1,0.833,0.7,1.4,0.2,2.2,2.4,0.8,0.4,0.1,4.2,0.28
117,Kendrick Perkins,NOP,4,7.1,2,2.5,0.8,0,0,0,0,0,0,0.2,0.5,0.2,1.8,2,0.5,0,0,4,0.35
118,Elfrid Payton,ORL,25,31.6,4.8,11.7,0.411,0.4,1.2,0.323,1.8,2.7,0.687,2.4,2.3,1.1,3,4.1,6.4,1.5,0.2,11.8,0.41
119,Cameron Payne,OKC,12,3.9,0.6,1.7,0.35,0.2,0.8,0.333,0,0,0,0.3,0.5,0,0.8,0.8,0.8,0.1,0,1.4,0.44
120,Adreian Payne,MIN,17,9.7,1.4,2.9,0.469,0.3,0.6,0.455,0.4,0.5,0.75,0.8,1.9,0.5,2,2.5,0.5,0.2,0.1,3.4,0.32
121,Chris Paul,LAC,21,32,6,13.3,0.448,1.2,3.3,0.357,3.5,3.9,0.89,2.8,2.6,0.4,3,3.3,8.9,1.8,0,16.6,0.47
122,Patrick Patterson,TOR,27,22.8,2.1,5.7,0.364,1.2,3.9,0.314,0.2,0.2,0.833,0.9,1.2,0.8,3.4,4.2,1.1,0.8,0.3,5.6,0.25
123,Lamar Patterson,ATL,21,13.6,0.9,2.7,0.333,0.4,1.8,0.243,0.6,0.9,0.684,0.7,1.6,0.2,1.5,1.7,1.4,0.3,0,2.9,0.23
124,Chandler Parsons,DAL,19,21.2,3.4,7.7,0.435,0.9,2.8,0.333,0.7,1.4,0.5,1.3,1.6,0.3,2.4,2.7,1.3,0.3,0.4,8.4,0.39
125,Tony Parker,SAS,26,26.7,5.3,9.5,0.561,0.2,0.5,0.357,1.8,2.3,0.787,1.7,1.7,0.3,2.1,2.4,5.1,0.8,0.2,12.7,0.39
126,Jabari Parker,MIL,21,25,4.5,9.2,0.485,0,0.1,0,1.9,2.3,0.812,0.8,1.6,1.2,3.1,4.3,1.1,0.7,0.4,10.8,0.41
127,Kostas Papanikolaou,DEN,16,7.7,0.9,2,0.438,0.2,0.8,0.231,0.3,0.4,0.833,0.5,0.8,0.3,0.8,1.1,0.3,0.2,0.1,2.2,0.28
128,Zaza Pachulia,DAL,26,28.7,3.3,6.7,0.489,0,0,0,3.7,4.8,0.766,2.1,2.4,3.5,7,10.5,1.8,0.9,0.4,10.2,0.30
129,"Kelly Oubre, Jr.",WAS,17,8.5,1.3,3.5,0.373,0.4,1.5,0.28,0.8,1.1,0.684,0.4,1.5,0.1,1.4,1.5,0.2,0.2,0,3.8,0.47
130,Kelly Olynyk,BOS,25,18.9,3.4,7.9,0.426,1.1,3.1,0.359,1,1.3,0.75,1.2,2.2,1,2.7,3.7,1.5,1.1,0.7,8.8,0.45
131,Victor Oladipo,ORL,23,29.6,5.1,12.9,0.399,1,3.9,0.27,2.4,3,0.797,1.9,2.3,0.6,5,5.5,3.7,1.2,0.9,13.7,0.48
132,Jahlil Okafor,PHI,25,32.5,7.4,16.1,0.459,0,0.1,0,3,4.1,0.728,2.6,2.7,2.5,5.6,8.1,1.2,0.3,1.4,17.8,0.55
133,Kyle O'Quinn,NYK,21,13,2,4.1,0.488,0,0.4,0,1,1.3,0.741,0.8,2.1,1.5,2.9,4.4,1.2,0.5,0.9,5,0.36
134,Johnny O'Bryant,MIL,25,15.1,1.4,3.5,0.409,0,0,1,0.6,0.9,0.696,0.6,1.7,1.2,1.9,3.1,0.8,0.3,0.2,3.6,0.26
135,Dirk Nowitzki,DAL,25,30,6.4,13.3,0.479,1.4,3.7,0.38,3,3.4,0.893,1,1.8,0.8,6.3,7.1,2,0.7,0.7,17.1,0.49
136,Steve Novak,OKC,3,3.1,0.7,2,0.333,0.7,1.3,0.5,0,0,0,0,0.3,0,0.7,0.7,0,0,0,2,0.65
137,Lucas Nogueira,TOR,9,10.7,1.8,2.4,0.727,0,0.1,0,0.3,0.6,0.6,0.4,1.1,0.8,1.4,2.2,0.3,0.7,0.4,3.9,0.25
138,Nerlens Noel,PHI,21,29.8,4,9.3,0.431,0,0,0,1.9,3.3,0.565,2.9,2.6,2,5.8,7.8,1.3,1.4,1,9.9,0.36
139,Joakim Noah,CHI,22,22.2,1.5,4,0.364,0,0,0,0.8,1.8,0.462,1.8,2.8,2.7,6,8.7,3.7,0.6,1.2,3.7,0.21
140,Andrew Nicholson,ORL,16,19.5,3.4,6.9,0.486,1.1,2.5,0.425,0.7,0.8,0.846,1,1.6,0.8,4,4.8,0.2,0.2,0.5,8.5,0.37
141,Raulzinho Neto,UTA,23,17,2,4.9,0.398,0.8,2,0.404,0.3,0.4,0.667,1.2,1.5,0.2,1.2,1.4,2.2,1,0,5,0.30
142,Maybyner Nene,WAS,12,17.4,2.9,5.2,0.556,0,0.1,0,1.8,3.2,0.553,1,3.1,0.6,4.3,4.9,1.8,0.7,0.1,7.6,0.38
143,Jameer Nelson,DEN,23,25,2.9,7.9,0.37,1.1,3.6,0.313,0.5,0.7,0.8,1.8,2.7,0.3,2.3,2.6,4.4,0.7,0,7.5,0.33
144,Gary Neal,WAS,22,22.4,4.2,8.9,0.474,1.3,2.9,0.453,1.3,1.4,0.903,0.8,1.3,0.4,1.9,2.2,1,0.5,0,11,0.42
145,Shabazz Napier,ORL,24,12.4,1.5,4.2,0.35,0.6,1.9,0.304,0.7,1,0.696,1,0.8,0.2,0.7,0.8,2.1,0.5,0,4.2,0.37
146,"Larry Nance, Jr.",LAL,21,18.8,2,4,0.494,0,0.1,0.5,0.5,0.6,0.769,0.7,1.8,1.2,2.5,3.7,0.6,0.6,0.3,4.4,0.23
147,Mike Muscala,ATL,21,14,1.7,3.8,0.456,0.4,1.3,0.321,0.6,0.8,0.812,0.8,1.5,0.6,1.9,2.5,0.7,0.4,0.7,4.5,0.30
148,Shabazz Muhammad,MIN,25,17.5,3,6.4,0.472,0.4,1.4,0.265,1.7,2.2,0.782,1,1.4,0.8,2.1,2.9,0.3,0.2,0.1,8.1,0.42
149,Emmanuel Mudiay,DEN,23,29.1,4,12.7,0.311,0.8,3.2,0.247,2,2.9,0.682,4,2.1,0.8,2.7,3.5,5.7,1,0.7,10.7,0.48
150,Timofey Mozgov,CLE,21,19.2,2.9,5.4,0.531,0,0.2,0.25,1.5,1.9,0.8,1.4,1.9,1.2,3,4.1,0.5,0.4,0.8,7.3,0.32
151,Donatas Motiejunas,HOU,7,13.1,2.4,5,0.486,0.7,1.4,0.5,0.7,1.4,0.5,2.6,2.3,0.6,1.6,2.1,0.9,0.6,0.1,6.3,0.43
152,Anthony Morrow,OKC,24,15.8,2,4.9,0.398,1.2,2.8,0.412,0.3,0.4,0.889,0.4,0.8,0.2,1,1.2,0.4,0.5,0.1,5.4,0.32
153,Markieff Morris,PHX,18,25.1,4.7,12.2,0.386,0.7,2.4,0.279,1.3,1.8,0.727,2.2,2.8,1.2,4,5.2,1.7,0.7,0.4,11.4,0.52
154,Marcus Morris,DET,27,36.1,5.1,12.3,0.416,1.1,3.5,0.33,2.9,3.7,0.772,1.6,2,1.4,4.2,5.6,2,1.1,0.3,14.3,0.38
155,Eric Moreland,SAC,5,4.9,0.4,0.6,0.667,0,0,0,0,0.4,0,0,0.4,0.2,1,1.2,0,0,0.8,0.8,0.16
156,E'Twaun Moore,CHI,20,16.4,2,4.3,0.46,0.4,1,0.4,0.2,0.6,0.455,0.7,1.1,0.1,1.4,1.6,1,0.5,0.1,4.7,0.28
157,Luis Montero,POR,2,3,0.5,1,0.5,0.5,0.5,1,0,0,0,0.5,0,0,0.5,0.5,0,0,0,1.5,0.33
158,Greg Monroe,MIL,25,31.4,6.8,13,0.525,0,0,0,2.5,3.3,0.747,1.7,2.3,2.9,7,9.8,2.4,1.2,0.9,16.2,0.46
159,Nikola Mirotic,CHI,23,23.2,3.7,9.3,0.399,1.8,5,0.353,2,2.5,0.807,1.7,2.1,1.1,5,6.2,1.6,0.8,0.3,11.2,0.45
160,Paul Millsap,ATL,27,33.4,6.2,12.6,0.49,0.9,2.7,0.311,4.9,6.3,0.776,2.3,2.9,2.6,6.4,9,3.4,1.8,1.2,18.1,0.46
161,Elijah Millsap,UTA,14,8.9,0.5,2,0.25,0.1,0.6,0.111,0.7,1,0.714,0.4,1.9,0.4,1.5,1.9,1,0.4,0.1,1.8,0.27
162,Patty Mills,SAS,27,20.8,3.4,7.3,0.467,1.4,3.7,0.386,0.3,0.4,0.8,0.9,1.1,0.3,1.7,2,2.4,1.1,0.1,8.6,0.36
163,Mike Miller,DEN,20,8.5,0.7,1.6,0.452,0.6,1.4,0.429,0,0,0,0.3,1.1,0.1,1.1,1.1,0.9,0.3,0.1,2,0.19
164,Andre Miller,MIN,12,14.1,1.8,3.2,0.579,0.1,0.2,0.5,0.8,1,0.75,1.2,1.9,0.4,0.9,1.3,3.2,0.7,0,4.5,0.26
165,C.J. Miles,IND,21,28.6,5.2,11.5,0.45,3.1,7.2,0.428,2.2,2.8,0.78,1.2,2.5,0.5,2.6,3,1.2,1,0.4,15.7,0.44
166,Khris Middleton,MIL,27,34.8,4.7,12,0.391,2,4.4,0.445,3,3.4,0.88,1.4,2.9,0.3,3,3.3,3.2,1.2,0.2,14.4,0.39
167,Jordan Mickey,BOS,2,2.6,0.5,1,0.5,0,0,0,1.5,1.5,1,0,0.5,1,0.5,1.5,0.5,0,0.5,2.5,0.63
168,Salah Mejri,DAL,5,3.9,0,0.2,0,0,0,0,0,0,0,0.2,0.6,0.2,0.8,1,0,0.2,0.4,0,0.05
169,Jodie Meeks,DET,2,8.5,0.5,2.5,0.2,0,0,0,0,0,0,0.5,1,0.5,0.5,1,0,0,0,1,0.29
170,Josh McRoberts,MIA,20,15.5,1.2,3,0.4,0.1,1.1,0.136,0.8,1.1,0.682,0.8,1.6,0.8,2.2,3,1.8,0.5,0.1,3.3,0.22
171,Ben McLemore,SAC,25,21.9,2.9,6.4,0.453,1,2.3,0.414,1.2,1.5,0.811,1.5,2,0.5,1.7,2.2,1.2,1,0.1,8,0.32
172,JaVale McGee,DAL,7,8.9,2,3.4,0.583,0,0,0,0.3,0.9,0.333,0.9,1.4,1.4,2.7,4.1,0.1,0,0,4.3,0.42
173,Mitch McGary,OKC,6,5.6,0.5,1,0.5,0,0,0,0.5,1,0.5,0.8,0.8,0.5,1,1.5,0.3,0,0.2,1.5,0.25
174,Doug McDermott,CHI,23,22.2,3.8,8.3,0.458,1.6,3.6,0.446,0.4,0.5,0.818,0.7,1.3,0.5,1.9,2.3,0.7,0.1,0.1,9.6,0.38
175,K.J. McDaniels,HOU,10,4.3,0.6,1.9,0.316,0.2,0.7,0.286,0.3,0.5,0.6,0.3,0.6,0.3,0.6,0.9,0.1,0.1,0.2,1.7,0.49
176,T.J. McConnell,PHI,27,25.6,3.1,6.7,0.467,0.6,1.6,0.357,0.1,0.3,0.571,2.4,1.8,0.7,4,4.6,5.4,1.3,0.3,6.9,0.27
177,C.J. McCollum,POR,27,35,7.5,17.3,0.433,2.4,6,0.404,2.5,2.9,0.872,2.2,2.4,0.5,2.9,3.4,3.8,1.3,0.3,19.9,0.53
178,Ray McCallum,SAS,12,7.6,0.7,1.8,0.381,0.1,0.3,0.25,0.3,0.3,1,0.4,0.5,0.1,1.2,1.2,0.8,0.2,0.2,1.8,0.25
179,James McAdoo,GSW,19,4.6,0.8,1.5,0.517,0,0,0,0.4,1,0.421,0.4,0.7,0.4,0.6,0.9,0.3,0.2,0.1,2,0.42
180,Luc Mbah a Moute,LAC,23,10.8,0.8,2.1,0.367,0.2,0.5,0.417,0.2,0.3,0.667,0.2,1,1,0.9,1.9,0.2,0.3,0.2,2,0.21
181,O.J. Mayo,MIL,16,30,4.2,10.6,0.396,1.6,5.1,0.309,0.8,0.9,0.8,1.6,3.4,0.4,2.8,3.1,3.2,1.6,0.1,10.7,0.37
182,Wesley Matthews,DAL,24,31.4,4.2,11.5,0.368,2.5,7.2,0.343,1.9,2.2,0.865,1.1,2.4,0.5,2.7,3.2,1.8,1,0.2,12.8,0.40
183,Kevin Martin,MIN,23,26,3.9,10.7,0.367,1,3,0.348,3.9,4.4,0.873,1,1.7,0.2,2.2,2.4,1.3,0.5,0,12.7,0.48
184,Kendall Marshall,PHI,3,17.3,2,4.3,0.462,0.7,1.7,0.4,0,0,0,2.7,0,0.3,1,1.3,5,0.3,0,4.7,0.25
185,Boban Marjanovic,SAS,13,5.8,1.5,2.5,0.594,0,0,0,0.8,1.3,0.647,0.5,1.1,1,1.2,2.2,0.2,0.2,0.2,3.8,0.53
186,Devyn Marble,ORL,5,2.4,0.2,1,0.2,0,0.4,0,0,0.2,0,0.2,0.4,0,0.2,0.2,0,0.2,0,0.4,0.45
187,Ian Mahinmi,IND,23,24.2,3.3,5.8,0.571,0,0,0,1.3,2.7,0.484,1.2,3.1,1.9,5,7,1.5,1,1.2,7.9,0.29
188,Shelvin Mack,ATL,10,9,1.8,4,0.45,0.2,1.1,0.182,0.3,0.3,1,0.6,0.3,0.1,1,1.1,1.9,0.6,0,4.1,0.46
189,Trey Lyles,UTA,22,12.2,1,2.9,0.344,0.1,0.4,0.25,0.2,0.4,0.556,0.5,1.4,0.8,2,2.9,0.4,0.1,0.2,2.3,0.25
190,Kyle Lowry,TOR,27,35.9,6.6,16,0.411,2.9,7.5,0.389,5.2,5.9,0.875,3,3.1,0.7,4.2,4.9,6.1,2.3,0.7,21.3,0.51
191,Kevin Love,CLE,24,33.2,6,13.8,0.434,2.2,6.1,0.37,3.3,4,0.842,2.2,1.8,2.6,8.2,10.8,2.7,0.9,0.5,17.6,0.47
192,Robin Lopez,NYK,26,23.7,3,6.5,0.458,0,0,0,1.2,1.5,0.816,1.6,2.7,2.3,3.2,5.4,1.7,0.2,1.1,7.1,0.30
193,Brook Lopez,BRK,25,33.3,7.6,15.7,0.487,0,0.1,0,4,5,0.806,2.4,3.2,3,5,8,1.5,0.6,2,19.3,0.53
194,Shaun Livingston,GSW,24,20.8,2.2,4.6,0.482,0,0.4,0.111,0.9,0.9,0.955,0.8,1.7,0.7,1.4,2,2.4,0.5,0.3,5.3,0.24
195,Jeremy Lin,CHA,25,24.6,3.8,9,0.429,0.9,3,0.307,2.9,3.8,0.777,1.6,2.2,0.5,2.3,2.8,2.9,0.8,0.7,11.5,0.43
196,Damian Lillard,POR,27,36.5,8.5,20.3,0.418,2.9,7.7,0.372,4.7,5.3,0.881,3.3,2.5,0.6,4,4.6,6.6,0.9,0.3,24.5,0.62
197,Jon Leuer,PHX,27,20.4,3.4,7.1,0.487,0.9,2.1,0.411,0.9,1.2,0.727,1,2,1,4.6,5.6,1.4,0.7,0.4,8.6,0.37
