#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
359,Michael Carter-Williams,MIL,22,29.1,4.5,10.2,0.438,0.2,0.9,0.25,1.9,2.7,0.712,3,2.8,0.8,3,3.8,5.3,1.2,0.6,11,0.39
360,Vince Carter,MEM,11,14.1,1.5,4.2,0.348,0.7,2.5,0.296,0.4,0.5,0.8,0.6,2.1,0.5,2.1,2.6,0.5,0.5,0.3,4,0.31
361,DeMarre Carroll,TOR,18,34.2,4.5,11.7,0.386,1.8,4.8,0.368,1.4,2.3,0.634,1.4,2.8,1.2,3.8,5.1,1.3,1.9,0.2,12.2,0.37
362,Clint Capela,HOU,26,20.1,3.5,5.7,0.611,0,0,0,1.1,2.4,0.444,0.9,2.2,2.8,4.3,7,0.7,1,1.3,8.1,0.33
363,Isaiah Canaan,PHI,27,27.1,3.3,9.6,0.344,2.4,6.6,0.369,1.9,2.2,0.847,1.5,1.7,0.3,1.9,2.1,2.1,0.7,0.3,10.9,0.39
364,Kentavious Caldwell-Pope,DET,27,37.5,5.1,12.4,0.409,1.4,4.7,0.302,2.6,3.1,0.831,1.1,2.1,0.8,2.4,3.2,2,1.7,0.2,14.1,0.37
365,Jose Calderon,NYK,26,26.8,2.8,6.1,0.459,1.2,3.1,0.388,0.6,0.7,0.889,1.2,1.6,0.3,2.6,2.9,3.7,0.9,0,7.4,0.24
366,Bruno Caboclo,TOR,1,1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83
367,Rasual Butler,SAS,22,9.6,1,2.5,0.407,0.4,1.3,0.286,0.2,0.4,0.625,0.2,0.1,0,1.4,1.4,0.6,0.3,0.5,2.6,0.28
368,Jimmy Butler,CHI,23,36.9,6.8,15.3,0.444,1.2,3.5,0.338,6.1,7.3,0.828,1.7,2,0.9,4.2,5,3.3,1.8,0.9,20.8,0.50
369,Caron Butler,SAC,8,10,1.1,2.9,0.391,0.1,1,0.125,0.1,0.2,0.5,0.2,0.6,0.4,0.8,1.1,0.2,0.6,0,2.5,0.30
370,Alec Burks,UTA,24,28.2,4.9,12.2,0.398,1,2.9,0.362,4,5.2,0.77,1.7,2.6,0.7,3,3.7,2.4,0.6,0.2,14.8,0.51
371,Trey Burke,UTA,24,23.1,4.4,10.1,0.432,1.6,4,0.392,0.9,1.2,0.733,1.5,1.5,0.4,1.8,2.2,2.8,0.7,0,11.2,0.46
372,Reggie Bullock,DET,14,5.6,0.1,1.3,0.056,0.1,0.7,0.1,0.2,0.2,1,0.1,0.3,0.2,0.3,0.5,0.1,0.1,0,0.4,0.25
373,Chase Budinger,IND,24,16.7,1.7,4.3,0.388,0.7,1.9,0.37,0.8,1.2,0.69,0.8,1,0.5,2,2.5,1.1,0.4,0.2,4.9,0.29
374,Kobe Bryant,LAL,23,30.8,5.8,17,0.339,1.8,7.2,0.247,3.3,4.3,0.786,2.1,2,0.5,3.8,4.3,3.4,1,0.2,16.7,0.61
375,Markel Brown,BRK,15,11.7,1.1,3.4,0.333,0.4,1.7,0.231,0.5,0.7,0.727,0.4,1.3,0,1,1,0.9,0.4,0.1,3.2,0.32
376,Anthony Brown,LAL,5,3.5,0.2,1,0.2,0.2,0.6,0.333,0.4,0.4,1,0,0.2,0,0,0,0,0.2,0,1,0.33
377,Aaron Brooks,CHI,15,15.2,3.1,7.5,0.411,1.2,3.3,0.367,1,1.2,0.833,0.9,1.9,0.6,1.5,2.1,2.2,0.2,0.3,8.3,0.53
378,Corey Brewer,HOU,27,21.5,2.6,7.4,0.35,0.9,3.1,0.294,1.6,2,0.782,1.1,2.3,0.5,2,2.5,1.6,1.2,0.1,7.7,0.38
379,Avery Bradley,BOS,24,31.6,6.1,13.4,0.455,2.5,6,0.417,1.2,1.5,0.806,1.5,2.3,0.4,2,2.4,2.1,1.6,0.3,15.9,0.44
380,Chris Bosh,MIA,24,32.9,5.8,12.8,0.448,1.5,3.9,0.372,4.3,5.2,0.824,1.2,1.3,1,7.4,8.4,2.1,0.7,1,17.2,0.46
381,Trevor Booker,UTA,23,21.7,2.1,5.4,0.395,0,0.4,0.1,0.9,1.2,0.714,1,2.5,2.5,3.5,6,0.8,1,0.6,5.2,0.27
382,Devin Booker,PHX,23,14,2,4,0.495,0.7,1.2,0.63,0.6,0.8,0.778,0.6,1.5,0.1,1,1.1,0.8,0.3,0.2,5.3,0.31
383,Matt Bonner,SAS,11,5.9,1.1,1.9,0.571,0.5,1.1,0.5,0.1,0.2,0.5,0.2,0.3,0.2,1,1.2,0.4,0.3,0,2.8,0.34
384,Andrew Bogut,GSW,19,20.2,2.7,4.1,0.654,0,0,0,0.3,0.8,0.375,1.2,3.1,1.6,5.3,6.9,2.3,0.4,1.8,5.7,0.22
385,Bojan Bogdanovic,BRK,25,26.1,3.6,8.1,0.441,1.1,3.4,0.321,0.8,1.1,0.679,1.2,1.3,0.4,3,3.5,0.8,0.6,0,9,0.33
386,Eric Bledsoe,PHX,26,35.2,7.7,16.9,0.453,1.7,4.5,0.381,4.7,5.9,0.791,3.6,2.4,0.7,3.6,4.3,6.5,2.1,0.7,21.7,0.55
387,Steve Blake,DET,23,15.9,1.6,4.3,0.364,0.9,2.7,0.323,0.1,0.1,0.667,1.6,1,0.2,1.3,1.5,3.1,0.4,0.1,4.1,0.27
388,DeJuan Blair,WAS,14,9.5,0.9,2.7,0.342,0,0.1,0,0.4,0.8,0.455,0.9,2.4,1.2,1.5,2.7,0.5,0.4,0.1,2.2,0.32
389,Tarik Black,LAL,8,11.4,1.5,2.9,0.522,0,0,0,0.8,1.5,0.5,0.6,2.6,0.9,3.5,4.4,0.1,0.1,0.2,3.8,0.31
390,Nemanja Bjelica,MIN,21,22.4,2.1,4.9,0.437,1,3,0.344,0.6,1,0.545,0.8,3.1,1.1,3.8,4.9,1.6,0.4,0.4,5.9,0.24
391,Bismack Biyombo,TOR,27,23,1.8,3.6,0.495,0,0,0,1.8,2.7,0.671,1.1,3.1,2.4,5.7,8.1,0.2,0.3,1.4,5.4,0.21
392,Patrick Beverley,HOU,20,24.8,3.2,7.7,0.418,1.6,4.3,0.379,0.4,0.5,0.8,1.2,3.2,0.6,2,2.5,2.4,1.4,0.3,8.4,0.32
393,Anthony Bennett,TOR,9,5.4,0.3,1.6,0.214,0.1,0.9,0.125,0.8,0.9,0.875,0.4,0.8,0.6,1.1,1.7,0,0.3,0,1.6,0.37
394,Marco Belinelli,SAC,25,26.2,3.7,9.6,0.383,1.6,4.9,0.336,2.2,2.6,0.862,1.6,1.8,0.2,1.4,1.6,2.2,0.5,0,11.2,0.41
395,Bradley Beal,WAS,17,36.5,7.4,16.9,0.438,2.2,5.6,0.389,2.8,3.6,0.758,3,2.5,0.9,3.8,4.7,3.2,1.1,0.4,19.8,0.50
396,Kent Bazemore,ATL,22,27.6,4.7,9.6,0.486,1.5,3.5,0.423,1.8,2,0.889,1.3,2.2,0.2,4.2,4.4,2.1,1.5,0.6,12.7,0.38
397,Aron Baynes,DET,27,13.4,2,4.2,0.474,0,0,0,0.8,1.1,0.724,0.9,1.8,1.6,2.4,4,0.7,0.3,0.3,4.8,0.35
398,Jerryd Bayless,MIL,19,31.3,4.1,9.5,0.425,2.2,4.9,0.436,1.4,1.9,0.75,1.8,2.3,0.3,2.6,2.9,3.7,1.3,0.2,11.7,0.33
399,Nicolas Batum,CHA,24,33.9,5.5,12.9,0.424,2.3,5.9,0.394,3.2,3.8,0.867,3.1,1.6,1.1,5.5,6.5,4.6,1.1,0.5,16.5,0.43
400,Brandon Bass,LAL,21,15.1,2.2,4,0.553,0,0,0,0.9,1,0.818,0.7,1.7,1.7,2.4,4.1,0.8,0.2,0.5,5.3,0.29
#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#VALUE!
401,Will Barton,DEN,25,28.4,5.3,11.5,0.458,1.4,3.7,0.391,2.6,3.1,0.857,1.4,1.5,0.8,5.1,5.8,2.1,1.2,0.5,14.6,0.45
402,Matt Barnes,MEM,27,24.9,3,7.7,0.396,1.3,4.1,0.321,1.1,1.4,0.795,1.1,3.1,0.9,3.7,4.6,1.6,1.1,0.6,8.6,0.33
403,Harrison Barnes,GSW,17,30.1,4.9,9.9,0.5,1.2,3.2,0.389,2.3,2.8,0.83,1.1,1.8,1.2,3.8,5,1.9,0.9,0.2,13.4,0.37
404,Andrea Bargnani,BRK,21,14.3,3,7,0.438,0.1,0.4,0.222,1.3,1.5,0.844,0.7,1.7,0.8,1.5,2.3,0.2,0,0.2,7.5,0.53
405,J.J. Barea,DAL,20,19.6,3.1,8.1,0.385,0.8,2.6,0.288,1.4,1.7,0.824,1.6,1.6,0.5,1.5,2,3.8,0.3,0.1,8.3,0.45
406,Leandro Barbosa,GSW,22,14.8,2.5,5.9,0.434,0.8,2,0.409,0.3,0.4,0.667,1,1.6,0.4,1,1.5,1.6,0.9,0.2,6.2,0.41
407,Cameron Bairstow,CHI,3,4.3,0.7,2,0.333,0,0.7,0,0,0,0,0,1,0.3,0.7,1,0,0,0,1.3,0.47
408,Luke Babbitt,NOP,15,18.3,1.7,4.4,0.379,1,3,0.333,0.5,0.7,0.727,0.3,2.2,0.3,3.1,3.4,0.7,0.1,0.2,4.9,0.26
409,D.J. Augustin,OKC,26,16.4,1.6,4,0.4,0.8,2,0.396,0.9,1.2,0.742,1,1.1,0.2,1.1,1.3,1.9,0.4,0,4.9,0.27
410,Omer Asik,NOP,18,14.3,0.6,1.4,0.385,0,0,0,1.1,1.8,0.594,0.8,1.9,0.9,3.1,4.1,0.2,0.3,0.3,2.2,0.15
411,Darrell Arthur,DEN,22,19.8,3,6.7,0.439,0.4,0.9,0.45,0.3,0.5,0.6,0.7,2.6,1.3,2.3,3.6,0.9,0.9,0.8,6.6,0.35
412,Trevor Ariza,HOU,26,34.5,4,10.5,0.379,2,6.2,0.327,1.5,2.1,0.741,1.6,2.4,0.8,4.6,5.3,2.1,2,0.2,11.5,0.33
