#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
396,Kent Bazemore,ATL,20,27.1,4.5,9.4,0.476,1.5,3.5,0.429,1.6,1.9,0.868,1.4,2.2,0.1,4,4.2,2,1.5,0.5,12.2,0.38
397,Aron Baynes,DET,25,13.5,1.8,4.1,0.447,0,0,0,0.7,1,0.692,0.9,1.8,1.6,2.4,4,0.7,0.3,0.4,4.4,0.33
398,Jerryd Bayless,MIL,19,31.3,4.1,9.5,0.425,2.2,4.9,0.436,1.4,1.9,0.75,1.8,2.3,0.3,2.6,2.9,3.7,1.3,0.2,11.7,0.33
399,Nicolas Batum,CHA,23,34.5,5.6,13.1,0.427,2.3,6,0.391,3.4,3.9,0.867,3.1,1.5,1,5.7,6.7,4.7,1.1,0.6,17,0.43
400,Brandon Bass,LAL,20,15.8,2.4,4.2,0.56,0,0.1,0,0.9,1.1,0.818,0.8,1.8,1.8,2.5,4.2,0.8,0.2,0.5,5.6,0.30
#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#VALUE!
401,Will Barton,DEN,23,28.1,5.2,11.3,0.459,1.4,3.7,0.393,2.5,3,0.853,1.3,1.5,0.7,5,5.7,2,1.2,0.5,14.3,0.45
402,Matt Barnes,MEM,24,24.2,2.8,7.6,0.374,1.2,4,0.299,1.1,1.4,0.788,0.9,3,0.9,3.5,4.4,1.5,1,0.5,8,0.34
403,Harrison Barnes,GSW,17,30.1,4.9,9.9,0.5,1.2,3.2,0.389,2.3,2.8,0.83,1.1,1.8,1.2,3.8,5,1.9,0.9,0.2,13.4,0.37
404,Andrea Bargnani,BRK,19,13.7,2.8,6.6,0.429,0.1,0.4,0.25,1.3,1.5,0.893,0.7,1.7,0.8,1.3,2.1,0.2,0.1,0.2,7.1,0.53
405,J.J. Barea,DAL,18,19.8,3.3,8.3,0.396,0.8,2.7,0.306,1.4,1.7,0.833,1.7,1.6,0.6,1.5,2.1,3.9,0.3,0.1,8.8,0.46
406,Leandro Barbosa,GSW,21,14.9,2.6,5.9,0.439,0.9,2,0.439,0.3,0.4,0.667,1,1.7,0.4,1.1,1.5,1.5,0.9,0.2,6.3,0.41
407,Cameron Bairstow,CHI,2,4.9,0.5,2,0.25,0,1,0,0,0,0,0,1.5,0.5,1,1.5,0,0,0,1,0.41
408,Luke Babbitt,NOP,15,18.3,1.7,4.4,0.379,1,3,0.333,0.5,0.7,0.727,0.3,2.2,0.3,3.1,3.4,0.7,0.1,0.2,4.9,0.26
409,D.J. Augustin,OKC,23,16.6,1.8,4.3,0.418,0.9,2.1,0.429,0.9,1.3,0.724,1.1,1.1,0.2,1.1,1.3,2,0.5,0,5.4,0.29
410,Omer Asik,NOP,16,14.3,0.6,1.5,0.375,0,0,0,1.1,1.8,0.607,0.9,1.8,0.9,3.1,4.1,0.2,0.4,0.2,2.2,0.16
411,Darrell Arthur,DEN,21,20,3,6.8,0.437,0.4,0.9,0.474,0.3,0.5,0.6,0.7,2.7,1.4,2.4,3.8,0.9,0.8,0.8,6.6,0.35
412,Trevor Ariza,HOU,23,34.2,3.9,10.4,0.371,1.9,6,0.317,1.7,2.3,0.731,1.7,2.4,0.7,4.6,5.3,1.9,1.9,0.3,11.3,0.33
413,Joel Anthony,DET,5,3.5,0.2,0.4,0.5,0,0,0,0.4,0.4,1,0.2,0.4,0.6,0.6,1.2,0.2,0.4,0.2,0.8,0.16
414,Carmelo Anthony,NYK,24,34.2,7.5,18.2,0.412,1.7,4.8,0.345,5.1,6.1,0.842,2.6,2.7,1.3,5.9,7.2,3.2,1,0.6,21.8,0.61
415,Giannis Antetokounmpo,MIL,24,33.4,5.8,11.6,0.502,0.4,1.5,0.286,3.6,4.3,0.837,2.5,3.6,1.2,5.4,6.6,2.8,0.9,1.2,15.7,0.40
416,Ryan Anderson,NOP,21,32.4,6.6,14.7,0.447,2.1,5.6,0.376,2.8,3.3,0.855,1.8,1.9,2.4,4.5,7,1.2,0.5,0.5,18,0.50
